product_brand,product_name,product_shade,product_price,review_text,review_id
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Ohalaw, enggak pernah bosan ya review lipstick merah apa lagi OMG paling banyak shadenya, walaupun beda tone 1 tingkat tetap aku beli, untuk shade 24. Berry ini dia lebih ke Deep Maroon ya di bibir aku, cocok nya di layer ke2 setelah base ombre, dan seperti biasa OMG sudah terkenal dengan teksturnya yang nyaman dan ringan di Bibir ya",review_00039
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,Lip matte OMG yang harganya murah tapi kualitas tidak murahan. Nyaman banget di pakai. enggak bikin bibir kering dan yang pasti harganya yang aman banget di kantor. enggak bikin boncos. pokoknya wajib banget ada di deretan skincare dan memakai up di rumah,review_00040
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,lip cream yang tidak bikin kering dan pecah. lembut dibibir dan warnanya cantik. tahan lama dan tahan untuk dibawa makan dan minum. cocok dipakai sehari-hari. bagus untuk berbagai acara dan mempercantik penampilan dirimu. selamat mencoba,review_00041
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,sudah dari lama memakai brand inj Untuk daily cocok banget Harga eamah di kantong Tapi kwalitas oke punya apalagi shadenya banyak pilihan Dapat promo lagi pas acara Mbx medan di santika jadi makin happy Cocok banget buat di pakai sehari-Hari!!,review_00042
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Salah satu lipmate yang cocok banget dipakai sehari hari,selain ringan harga nya juga pas banget untuk semua kalangan. Rekomend untuk di pakai untuk daily makeup maupun event event khusus. Selalu repeat order kalo sudah keabisan sangkin cintany",review_00043
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Warnanya bagus buat ombre sama shade Latte (13). dipakai sendiri pun oke apalagi kalau makeup bold. Ngeblendnya mudah selama base ombrenya sesama lipcream, hasilnya pasti smooth. Kalau mau transfer proof makenya jangan dikatup-katupin, tapi blend dengan kuas",review_00044
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Lip cream yang ringan dan nyaman since mereka reformulasi beberapa waktu lalu feelsnya ringan kayak enggak pakai apa-apa terus aku suka pakai shade ini buat ombre sama shade crush (22) di pakai full lips juga cakep nih, warna mauvenya masih oke di kulit sawo matang",review_00045
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,lipcream murah tapi enggak murahan menurut aku. karena dia ini lipcream tapi matte kayak liptint dan enggak bikin bibir kering sama sekali dan yang aku suka dia tuh tahan lamaa cepat ngeset juga dan enggak transfer. cocok buat ombrean sih aslik kalian wajib mencoba juga,review_00046
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Well untuk yang kulitnya kuning langsat dengan Netral slightly cool undertone kayak saya bakal suka dengan shade berry ini. Cakep warnanya cool very deep dark berry. pigmented dan mudah di-built untuk menambah intensitas warna nya. Dia bisa dengan mudah dipulas diatas pulasan pertamanya setelah kering/set. Bibir saya super kering, jadi meskipun sudah pakai pelembab bibir rutin dan sebelum olesnya, sih OMG matte lip cream ini after hours of wear bakal accentuates garis2 bibir saya dan kadang ngelupas. Dia your tradisional matte lip cream yang masih bisa dipakai sama yang bibirnya super kering kayak saya kerika kondisi bibir lagi bagus dan dibarengin pakai pelembab. enggak berasa bikin makin drying setelah dia mengering tapi juga enggak membantu menambah kelembapan bibir being matte lip cream that itu is. Feels light di bibir. Untuk harga dan super banyak shades nya saya applaud ya sih Oh My Glam matte lip cream ini.",review_00047
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Suka banget sama lip creamnya memang teksturenya kayak cepat ngeset begitu tapi enak sih pas di pakai aku juga pakenya yang buat base next mau mencoba produk omg yang lainnya karena harganya lumayan terjangkau dan juga lumayan murah, next mau beli lagi",review_00048
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Lipcream omg dengan formula baru ini super enak, ringan, pigmented, enggak bikin bibir kering dan warna2nya bagus sekali swipe keliatan.. warna berry ini warna dark purple ada hint merah sedikit sudah pasti bold banget kalo dipakai sendiri dipakai ombre cantik banget wajib punya deh minimal 1 lipcream omg terbaru",review_00049
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Suka banget sama lip matte OMG ini yang versi reformulasinya karena teksturnya lebih ringan, enggak berat di bibir dan enggak berasa kering yang tertarik gitu. Shade berry ini warnanya pink ada sedikit hint mouve nya, cocok banget buat yang cooltone. Biasanya aku pakai ini untuk dijadikan innerlips ombre.",review_00050
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Warnanya cantik banget merah pink yang enggak mencolok, kalem tapi elegan. Teksturnya ringan di bibir, aku kira matte nya bakal bikin bibir kering ternyata enggak sama sekali, tapi bukan yang menghidrasi juga. Cukup longlasting, enggak gampang hilang dibawa makan dan transferproof jugaa. Worth tapi try apalagi harganya juga murahh",review_00051
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"awalnya enggak suka banget sama lip cream karena kalo memakai pasti rasanya bibir berat banget terus pecah2 juga, eh pas coba lip cream nya omg suka bangett, enggak bikim bibir kering dan terasa berat, malah ringam banget dibibir, shade nya juga banyak dan mantep2 poll, coba deh",review_00052
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"yang pertama sih sebagai pelajar harganya murcee pwooll, warnanya cakep-cakep bwaanggeett, pigmented banget, aplikasiinnya gampang banget, enggak gampang crack asal di kasih lipbalm dulu, bibirku tuh lumayan gelap tapi bisa ke cover, ringan juga kayak enggak pakai lipstick",review_00053
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"Menurut aku pemakaian lip mate shaed 13 dari Brand OMG itu bagus cocok buat base ombre, plus combo sama shaed scarlet no 12 bagus banget cocok buat kulit sawo matang dan harga nya under 20k an dan ber pakejing kayak kaca begitu bagus kok, lip nya terlihat mahal",review_00054
Omg,Oh My Glam Mattelast Lip Cream,24 Berry,27500,"One of my favorite lipmatte , teksturnya creamy, cepat ngeset , warnanya cantik , longlastong ,transferproof , wangi nya kayak ada kopinya , cocok buat tan skin , harganya affordable , bisa dibeli dimana saja , kebanggaan lipstik anak kosan hehe",review_00055
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"kalo kepepet habis dan enggak sempat beli online pasti mencari ini di minimarket terdekat dan pasti ada, aku suka varian yang ini karena wangi strawberry! walaupun softt banget dan aku merasa produk ini ada sedikit glitter glitternya kelihatan cantik, di bibirku ini lembab tapi enggak yang over gitu, cuma aku enggak merasa bibirku jadi cerahan setelah pakai ini. tapi overall sesuai dengan tujuan lipbalm",review_00056
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"dari bibir aku yang kering jadi melembabkan karena produk nivea, nilai + nya mencerahkan 🩷 gongbangett kan?? aku pakai ini dari masih sampai enggak kena guru bk loh walaupun ada warna nya tapi kan ini merata ke bibir kita ya jadi kaya warna bibir + melembabkan! <3",review_00057
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"Sebagai pemilik bibir kering kerontang pas mau pakai lip cream orang lip tint aku butuh banget lipbalm. Lip balm ini salah satu yang dulu sering aku pakai, cukup melembabkan tapi enggak yang bikin langsung hilang keringnya walaupun tiap hari dipakai. Cukup saja sih buat lip prep sebelum ditimpa produk lips yang lain",review_00058
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"Produk nivea lumayan bagus bagus apalagi produk lip balm nya, lip balm Nivea yang strawberry ini benar benar cocok di aku, ngelembabin bibir, bibir jadi enggak pecah pecah, warna nya pun jadi segar cocok di pakai sebelum pakai lipstik, pokoknya bagus buat sehari hari",review_00059
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"Sangat cocok untuk bibir kering,bibir pecah pecah dan bibir yang gelap .karena bisa melembabkan dan dapat mencerahkan bibir yang gelap rekomen banget untuk kalian yang bibir nya pecah pecah dan bibir nya gelap pakai nivea ini langsung ada di beli di toko toko kosmetik",review_00060
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"vaseline tuh benar benar mindblowing banget harganya affordable tapi super duper ngefek buat ngelembapin bibir kering, harganya murah tapi gongg banget, banyak jenisnya juga bisa disesuaikan dengan preference masing-masing!!",review_00061
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"Ini pembelian ke 2 aku karena di aku awet banget. Penyelamat kalau lagi enggak bawa lip tin/lip cream di luar. Lebih melembapkan dan mengasih warna yang natural biar enggak pucet. Aku suka banget dan enggak bakal ganti product, sejauh ini nivea yang punya lipbalm worth itu dan ekonomis",review_00062
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"IVEA Strawberry Shine wanginya manis dan bikin bibir lembap seharian! Ada hint warna merah muda natural yang kasih efek fresh. Teksturnya lembut, enggak lengket, dan nyaman dipakai tiap hari. Bibir jadi halus dan glowing alami.",review_00063
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"enggak ada warna sih tapi baguss. Wanginyaa nothing? But works well on my lips ngelembapinnya oke. Aku pakai ini selama winter di korea bareng wardah juga and both works good gabuat bibir aku kering dan malah tetap terhidrasi, worth tapi try kok. However aku kasih bintang 4 karena somehow i prefer lip balm yang ada baunya saja 🤣",review_00064
Nivea,24H Melt-In Moisture,Strawberry Shine,0,"Review Jujur setelah pemakaian 5bulan Nivea Strawberry Shine Lip balm ini cocok banget buat yang cari bibir lembap + warna natural. Teksturnya ringan, enggak lengket, dan langsung melt saat diaplikasikan. Ada aroma stroberi yang manis tapi enggak ganggu. Yang paling aku suka, dia kasih warna merah muda alami bikin wajah kelihatan fresh tanpa harus pakai lipstik. Cocok banget buat daily look, ke kampus, atau ngonten santai. Untuk kelembapan, cukup tahan lama kalau bibir kamu enggak terlalu kering. Tapi kalau bibir lagi pecah-pecah parah, harus reapply beberapa kali. Ukurannya kecil, jadi gampang dibawa ke mana-mana. Plusnya: 1. Melembapkan bibir 2.Ada tint alami 3. Wangi enak 4. Harga terjangkau Minusnya: 1. enggak tahan lama setelah makan/minum 2. Kurang cocok untuk bibir super kering Overall, ini lip balm yang cantik, praktis, dan bisa diandalkan untuk tampil natural setiap hari.",review_00065
